open time	open	high	low	close	volume	number of trades
2019-01-01	29.92	31.8	29.56	31.48	103182.7	15380
2019-01-02	31.47	33.29	31.07	32.67	118306.2	19940
2019-01-03	32.68	32.8	30.62	31.39	94129.9	15402
2019-01-04	31.41	32.53	30.78	31.76	108636.8	17016
2019-01-05	31.76	35.95	31.76	34.33	335581.6	46999
2019-01-06	34.33	39.71	33.89	38.3	761396.1	82109
2019-01-07	38.29	39.04	36.53	37.35	444975.9	51871
2019-01-08	37.35	40.8	36.91	38.7	522510.2	56171
2019-01-09	38.7	39.72	38.0	38.17	312030.1	36311
2019-01-10	38.17	38.77	31.0	32.81	584622.5	66419
2019-01-11	32.81	33.22	29.68	31.49	351182.4	45405
2019-01-12	31.48	32.13	31.07	31.65	178476.3	25298
2019-01-13	31.65	32.63	29.12	29.59	229264.1	29004
2019-01-14	29.6	32.5	29.38	31.71	255282.4	28964
2019-01-15	31.72	32.27	29.95	30.75	216841.9	29057
2019-01-16	30.74	31.93	30.47	31.29	153939.6	21559
2019-01-17	31.29	31.55	29.8	31.4	203218.0	25914
2019-01-18	31.38	31.53	30.31	30.77	150711.3	18620
2019-01-19	30.78	32.92	30.77	32.0	164989.6	21151
2019-01-20	31.94	33.2	28.45	30.64	249450.0	29614
2019-01-21	30.63	31.22	30.34	30.82	110305.8	15290
2019-01-22	30.82	32.0	29.48	31.41	199887.2	23765
2019-01-23	31.4	32.18	31.24	31.69	123577.3	15638
2019-01-24	31.69	33.1	30.89	32.51	138812.2	16597
2019-01-25	32.52	33.0	31.87	32.69	169242.5	18027
2019-01-26	32.68	33.95	32.57	32.8	166677.4	20495
2019-01-27	32.79	33.2	31.05	32.21	173697.8	21480
2019-01-28	32.22	32.53	30.0	30.94	267887.6	30657
2019-01-29	30.94	31.26	29.91	30.81	135879.9	17933
2019-01-30	30.8	31.97	30.47	31.68	129115.0	15154
2019-01-31	31.68	32.33	31.08	31.41	154708.2	17825
2019-02-01	31.43	33.64	30.7	32.65	335545.0	28955
2019-02-02	32.61	35.01	32.44	34.59	268052.5	27690
2019-02-03	34.59	34.89	32.86	33.44	348406.7	32651
2019-02-04	33.43	34.5	33.36	34.09	206649.7	20549
2019-02-05	34.08	34.54	33.63	34.34	214319.3	19416
2019-02-06	34.35	34.5	32.25	32.79	312456.5	30232
2019-02-07	32.78	33.61	32.73	33.24	144528.1	14240
2019-02-08	33.23	44.85	32.75	42.99	1237384.1	119267
2019-02-09	42.99	46.95	42.05	44.68	993529.4	105794
2019-02-10	44.68	47.59	42.0	46.79	667594.5	74650
2019-02-11	46.8	46.87	41.81	42.9	570398.5	62358
2019-02-12	42.88	44.57	41.84	43.89	326731.6	42437
2019-02-13	43.89	44.66	40.64	41.61	333914.8	40220
2019-02-14	41.61	42.45	40.31	41.26	285144.9	32595
2019-02-15	41.26	44.6	41.06	42.58	389951.0	45476
2019-02-16	42.6	44.37	42.28	43.34	326691.7	45174
2019-02-17	43.34	45.13	42.6	43.91	331698.8	43221
2019-02-18	43.89	49.03	43.62	47.84	744029.9	101066
2019-02-19	47.81	49.1	46.56	47.14	404786.8	63504
2019-02-20	47.16	52.21	46.25	51.5	566874.1	76226
2019-02-21	51.47	51.65	47.35	48.94	383781.9	51554
2019-02-22	48.93	49.97	48.08	49.19	265979.4	44082
2019-02-23	49.22	51.88	48.0	51.4	411115.3	58429
2019-02-24	51.39	53.53	42.37	43.75	685277.0	106805
2019-02-25	43.74	46.85	43.0	45.4	377273.2	52802
2019-02-26	45.4	45.89	44.06	44.76	220101.6	34598
2019-02-27	44.77	45.53	42.51	45.16	223940.9	35702
2019-02-28	45.15	46.7	44.44	45.61	258563.0	44293
2019-03-01	45.62	48.95	45.53	47.05	336011.9	43768
