open time	open	high	low	close	volume	number of trades
2019-01-01	7.423	7.79	7.281	7.756	324745.1	8615
2019-01-02	7.755	7.98	7.571	7.899	627670.3	14700
2019-01-03	7.894	7.92	7.35	7.522	454100.4	13280
2019-01-04	7.508	7.624	7.255	7.455	354826.3	10792
2019-01-05	7.455	7.83	7.455	7.722	448918.9	13614
2019-01-06	7.721	8.7	7.532	8.463	1109128.0	27512
2019-01-07	8.466	8.82	8.15	8.36	1131945.5	33090
2019-01-08	8.363	9.33	8.152	9.006	1550365.9	42757
2019-01-09	9.006	9.65	8.899	8.999	1638995.7	43716
2019-01-10	9.0	9.37	7.4	7.775	1900834.6	51517
2019-01-11	7.771	7.93	7.509	7.735	788749.0	27149
2019-01-12	7.732	7.756	7.459	7.563	430330.2	17099
2019-01-13	7.562	7.658	6.854	6.984	672258.4	22449
2019-01-14	6.982	7.844	6.98	7.812	835341.9	23730
2019-01-15	7.812	7.851	7.236	7.418	730736.4	23057
2019-01-16	7.416	7.793	7.351	7.551	547139.9	18074
2019-01-17	7.552	7.694	7.307	7.664	506996.3	16397
2019-01-18	7.667	7.709	7.41	7.505	295450.4	9876
2019-01-19	7.503	8.262	7.487	7.901	571976.8	15222
2019-01-20	7.898	8.05	7.22	7.452	685245.0	18192
2019-01-21	7.456	7.542	7.251	7.41	407563.5	10805
2019-01-22	7.405	7.718	7.05	7.6	541287.3	13713
2019-01-23	7.591	7.634	7.368	7.461	412351.6	10303
2019-01-24	7.458	7.67	7.373	7.642	289428.4	8818
2019-01-25	7.643	7.65	7.385	7.493	244738.3	7155
2019-01-26	7.493	7.65	7.406	7.438	216116.2	5646
2019-01-27	7.438	7.558	7.146	7.336	377988.3	9234
2019-01-28	7.336	7.373	6.723	6.921	619226.1	15326
2019-01-29	6.921	7.128	6.666	6.979	425584.6	11358
2019-01-30	6.979	7.13	6.774	7.048	381556.4	10760
2019-01-31	7.047	7.158	6.753	6.861	269602.5	8114
2019-02-01	6.865	7.05	6.72	6.967	247335.1	6541
2019-02-02	6.963	7.262	6.828	7.237	305304.9	7894
2019-02-03	7.243	7.256	6.921	7.016	277228.4	7615
2019-02-04	7.012	7.16	6.972	7.051	222764.7	5696
2019-02-05	7.053	7.146	6.931	6.991	211317.1	5550
2019-02-06	7.001	7.039	6.7	6.869	354158.1	9145
2019-02-07	6.862	7.0	6.822	6.933	170441.2	4979
2019-02-08	6.929	7.858	6.841	7.54	727844.8	15662
2019-02-09	7.55	7.76	7.443	7.662	382188.8	9509
2019-02-10	7.663	8.14	7.461	7.967	635857.5	14348
2019-02-11	7.975	8.35	7.65	8.128	663261.3	15275
2019-02-12	8.123	8.44	7.841	8.189	1076352.7	24112
2019-02-13	8.202	8.49	8.051	8.224	627371.3	14173
2019-02-14	8.218	8.258	7.714	7.888	632410.5	13204
2019-02-15	7.879	8.4	7.825	8.087	521098.4	12355
2019-02-16	8.08	8.289	7.848	7.887	520648.6	12255
2019-02-17	7.88	8.746	7.868	8.381	1251296.8	27736
2019-02-18	8.38	8.898	8.175	8.777	1300451.1	27284
2019-02-19	8.775	9.227	8.609	8.881	1286063.5	29060
2019-02-20	8.879	9.179	8.725	9.107	888694.0	20694
2019-02-21	9.11	9.153	8.457	8.585	940158.6	21594
2019-02-22	8.586	8.793	8.543	8.678	552683.2	13202
2019-02-23	8.68	10.3	8.5	10.14	1875334.7	39512
2019-02-24	10.143	10.837	8.51	8.908	3710383.0	82784
2019-02-25	8.918	9.443	8.767	9.204	1656410.7	38651
2019-02-26	9.204	9.426	8.85	9.053	823112.0	18937
2019-02-27	9.055	9.175	8.55	8.857	797431.1	17597
2019-02-28	8.869	9.042	8.7	8.813	663169.2	13866
2019-03-01	8.816	9.275	8.751	8.947	518228.1	12059
