open time	open	high	low	close	volume	number of trades
2019-01-01	0.11002	0.1138	0.10856	0.11351	21211564.9	11778
2019-01-02	0.11367	0.1177	0.1115	0.11656	29386260.7	17028
2019-01-03	0.11654	0.11688	0.11017	0.11139	34837060.8	14718
2019-01-04	0.11146	0.1134	0.10922	0.11271	32717497.6	17843
2019-01-05	0.11276	0.11397	0.11109	0.11148	35826640.9	17769
2019-01-06	0.11161	0.11999	0.11046	0.11871	46045092.8	23552
2019-01-07	0.11871	0.12402	0.1183	0.12232	69725772.8	30780
2019-01-08	0.12221	0.1247	0.1177	0.12153	60831886.4	30010
2019-01-09	0.12158	0.12316	0.11998	0.1225	46637146.1	20945
2019-01-10	0.12253	0.12757	0.10121	0.10595	99969300.9	44769
2019-01-11	0.10595	0.10711	0.10125	0.10385	59381883.4	26560
2019-01-12	0.10385	0.10487	0.10241	0.10447	34918334.2	15169
2019-01-13	0.10451	0.11095	0.09838	0.10102	65655302.9	31726
2019-01-14	0.1011	0.10895	0.10103	0.10732	48781156.6	22600
2019-01-15	0.10732	0.10815	0.10227	0.1037	33954473.0	16205
2019-01-16	0.10383	0.10763	0.10335	0.10551	19928841.4	12202
2019-01-17	0.10555	0.1087	0.1024	0.10712	33367460.6	15437
2019-01-18	0.10713	0.10748	0.10428	0.10542	17173987.2	10441
2019-01-19	0.10561	0.1096	0.10521	0.10651	31975911.6	14149
2019-01-20	0.10655	0.10768	0.10067	0.10289	41630238.0	18103
2019-01-21	0.10289	0.1033	0.09974	0.10139	30834243.6	14297
2019-01-22	0.10142	0.1032	0.09837	0.10209	33709460.4	15438
2019-01-23	0.10202	0.10287	0.09872	0.10068	24497735.7	11602
2019-01-24	0.10073	0.10141	0.09928	0.101	19630183.5	9012
2019-01-25	0.10096	0.10098	0.09753	0.0995	19865568.0	10315
2019-01-26	0.09947	0.10391	0.09663	0.09814	48123918.7	20734
2019-01-27	0.09813	0.09833	0.09295	0.0943	53865188.7	21691
2019-01-28	0.09434	0.09471	0.08305	0.08583	58244285.5	25705
2019-01-29	0.08578	0.08718	0.08025	0.08216	58477819.5	23770
2019-01-30	0.08214	0.08847	0.0806	0.08509	60467747.7	24161
2019-01-31	0.08516	0.08786	0.08069	0.08115	58590808.7	23085
2019-02-01	0.08122	0.08384	0.07858	0.08083	54378699.7	20352
2019-02-02	0.08086	0.0837	0.08053	0.083	27152104.0	12236
2019-02-03	0.08305	0.08318	0.07828	0.08012	30371157.8	12042
2019-02-04	0.08021	0.08097	0.07858	0.07862	33619186.7	12845
2019-02-05	0.07861	0.0788	0.07627	0.07702	40870949.6	15243
2019-02-06	0.07706	0.07751	0.07241	0.07426	48707263.2	18102
2019-02-07	0.07426	0.0775	0.071	0.07426	49927985.1	18407
2019-02-08	0.07426	0.08336	0.07301	0.08142	85699626.8	28467
2019-02-09	0.08144	0.0822	0.07922	0.08069	61187436.8	23926
2019-02-10	0.08076	0.082	0.0755	0.08022	94302782.3	30260
2019-02-11	0.08032	0.08066	0.07643	0.077	48908352.8	22699
2019-02-12	0.07708	0.07806	0.07464	0.07718	64773546.4	24111
2019-02-13	0.07718	0.07865	0.07516	0.07622	33060013.2	14892
2019-02-14	0.07622	0.07691	0.0742	0.07626	45404967.2	17312
2019-02-15	0.0763	0.08151	0.07568	0.07907	88466367.2	34156
2019-02-16	0.07916	0.07939	0.0775	0.07811	32045596.9	16195
2019-02-17	0.07805	0.0805	0.07738	0.07964	37932569.9	14223
2019-02-18	0.07958	0.084	0.07868	0.08371	90707642.4	29670
2019-02-19	0.08358	0.09344	0.08238	0.08974	173503486.6	56288
2019-02-20	0.08982	0.09241	0.08542	0.09198	110275238.9	42800
2019-02-21	0.09204	0.09428	0.0871	0.08854	82415770.8	31828
2019-02-22	0.08859	0.0923	0.088	0.0904	38300174.9	16678
2019-02-23	0.09049	0.09597	0.08879	0.09389	55817640.6	20818
2019-02-24	0.0939	0.0972	0.08017	0.08185	108270811.2	39598
2019-02-25	0.08197	0.0889	0.08171	0.08603	66203719.2	26714
2019-02-26	0.08603	0.08686	0.08301	0.08441	40624278.8	18856
2019-02-27	0.08436	0.0859	0.0806	0.08413	40618994.1	23824
2019-02-28	0.08414	0.08541	0.0824	0.08439	27796094.8	21738
2019-03-01	0.08452	0.0863	0.08394	0.08467	25195267.4	19786
