open time	open	high	low	close	volume	number of trades
2019-01-01	0.34864	0.36111	0.34533	0.3608	41061397.6	44289
2019-01-02	0.36057	0.3745	0.3535	0.36882	74162520.5	73217
2019-01-03	0.3686	0.3691	0.34778	0.3524	61459149.9	64440
2019-01-04	0.35255	0.358	0.34385	0.35308	51976479.9	58174
2019-01-05	0.35303	0.35981	0.345	0.34851	53463920.9	60623
2019-01-06	0.34851	0.36446	0.34542	0.36042	63015691.4	66421
2019-01-07	0.36042	0.37218	0.35701	0.36022	70715569.0	73648
2019-01-08	0.36015	0.36796	0.3545	0.36073	67790037.4	69400
2019-01-09	0.36073	0.36919	0.35775	0.3648	67288168.8	71907
2019-01-10	0.36479	0.37963	0.315	0.32464	182432057.4	152574
2019-01-11	0.32464	0.33418	0.31559	0.3258	74955650.2	94037
2019-01-12	0.3258	0.32977	0.32071	0.32557	38674176.1	54644
2019-01-13	0.32554	0.32953	0.30796	0.31132	56198037.6	59856
2019-01-14	0.31139	0.33593	0.31115	0.32871	65175057.4	71026
2019-01-15	0.3286	0.33176	0.31606	0.3215	54164499.2	64871
2019-01-16	0.32154	0.33196	0.3201	0.3257	48151576.2	59556
2019-01-17	0.3258	0.3284	0.31926	0.32489	46482575.6	58968
2019-01-18	0.32468	0.32548	0.3161	0.32036	31990322.9	44455
2019-01-19	0.32042	0.3325	0.31927	0.3267	43414969.4	50888
2019-01-20	0.32672	0.32861	0.31089	0.3168	40593702.6	48146
2019-01-21	0.31697	0.32163	0.3127	0.31767	29721620.1	43779
2019-01-22	0.31766	0.3202	0.30611	0.31762	51740083.2	60138
2019-01-23	0.31762	0.31933	0.312	0.31415	37351681.3	47968
2019-01-24	0.31422	0.31795	0.31255	0.31593	27176617.3	38617
2019-01-25	0.31584	0.31698	0.31	0.31384	23989294.4	36598
2019-01-26	0.314	0.31887	0.3119	0.31258	27927773.9	37734
2019-01-27	0.3126	0.31409	0.30272	0.30646	40448660.6	46839
2019-01-28	0.30653	0.30767	0.28089	0.29223	86788557.0	84364
2019-01-29	0.29223	0.294	0.28126	0.28693	46228128.9	57922
2019-01-30	0.28694	0.32646	0.28447	0.32109	135161854.0	114127
2019-01-31	0.32118	0.3358	0.30349	0.30911	173326720.7	148816
2019-02-01	0.3092	0.31197	0.295	0.30624	87742017.5	93872
2019-02-02	0.30628	0.31377	0.30428	0.3103	44389361.1	53361
2019-02-03	0.31042	0.31215	0.289	0.30219	55823769.6	59432
2019-02-04	0.30204	0.30566	0.29736	0.29939	44235957.5	51641
2019-02-05	0.29932	0.30225	0.29642	0.29972	53121022.0	54759
2019-02-06	0.29972	0.30101	0.28809	0.2894	60630230.6	69378
2019-02-07	0.28934	0.29469	0.28913	0.29145	32936661.6	45452
2019-02-08	0.29146	0.32129	0.28908	0.31205	93896197.0	99364
2019-02-09	0.31195	0.3164	0.30719	0.31215	65169202.2	77622
2019-02-10	0.31218	0.31286	0.29829	0.30988	65487258.0	76282
2019-02-11	0.30985	0.3103	0.30136	0.30255	41900510.2	62422
2019-02-12	0.30243	0.30842	0.29625	0.30514	50915657.1	57603
2019-02-13	0.3051	0.31373	0.30113	0.30382	54722420.4	61469
2019-02-14	0.30387	0.30556	0.29975	0.30081	38757408.1	47821
2019-02-15	0.30082	0.30646	0.296	0.30194	35931398.3	47728
2019-02-16	0.30195	0.30408	0.2997	0.30077	31126221.9	39518
2019-02-17	0.30084	0.308	0.29849	0.30318	49930873.1	47749
2019-02-18	0.3031	0.32862	0.30177	0.32194	172763975.2	151258
2019-02-19	0.32188	0.34777	0.31807	0.32238	198102626.4	178712
2019-02-20	0.3225	0.33476	0.3166	0.3315	103063793.8	115042
2019-02-21	0.33139	0.33297	0.31688	0.3207	74728496.6	78855
2019-02-22	0.32064	0.32333	0.31352	0.32105	47070036.8	58278
2019-02-23	0.32102	0.33395	0.31753	0.33201	65573265.4	64349
2019-02-24	0.33201	0.34345	0.29371	0.29757	168785982.4	140982
2019-02-25	0.29757	0.33975	0.29672	0.32731	198793053.8	157915
2019-02-26	0.3274	0.33502	0.31334	0.31658	156768298.4	139027
2019-02-27	0.31663	0.31874	0.30076	0.31067	86042683.7	81307
2019-02-28	0.31054	0.31771	0.30602	0.3139	82235972.7	79418
2019-03-01	0.31386	0.32354	0.31146	0.31564	82928007.7	75705
