open time	open	high	low	close	volume	number of trades
2018-01-01	13715.65	13818.55	12750.0	13380.0	8609.9	105595
2018-01-02	13382.16	15473.49	12890.02	14675.11	20078.1	177728
2018-01-03	14690.0	15307.56	14150.0	14919.51	15905.7	162787
2018-01-04	14919.51	15280.0	13918.04	15059.54	21329.6	170310
2018-01-05	15059.56	17176.24	14600.0	16960.39	23251.5	192969
2018-01-06	16960.39	17143.13	16011.21	17069.79	18571.5	158242
2018-01-07	17069.79	17099.96	15610.0	16150.03	12493.1	120269
2018-01-08	16218.85	16322.3	12812.0	14902.54	26600.6	208642
2018-01-09	14902.54	15500.0	14011.05	14400.0	14315.0	156656
2018-01-10	14401.0	14955.66	13131.31	14907.09	17411.0	161476
2018-01-11	14940.0	14968.68	11400.0	13238.78	33554.7	239416
2018-01-12	13238.76	14109.78	12500.0	13740.01	16417.2	134452
2018-01-13	13749.95	14580.0	13706.15	14210.0	12221.5	123639
2018-01-14	14210.0	14339.5	12569.2	13474.99	17017.9	152364
2018-01-15	13477.98	14249.99	13147.79	13539.93	14652.1	145362
2018-01-16	13500.0	13542.93	9035.0	10900.0	63401.2	418243
2018-01-17	10899.99	11680.99	9037.94	10988.79	72331.8	517293
2018-01-18	10972.59	11878.82	10435.33	10961.97	48464.4	393112
2018-01-19	10960.0	11795.0	10360.0	11474.98	34129.4	273271
2018-01-20	11474.98	13099.0	11412.45	12799.94	28768.9	251647
2018-01-21	12799.8	12799.8	10965.0	11530.0	41379.8	360207
2018-01-22	11530.0	11926.35	9900.24	10760.05	43752.6	363264
2018-01-23	10760.05	11399.0	9905.0	10799.18	37473.9	355286
2018-01-24	10799.14	11570.48	10500.0	11349.99	27158.6	293429
2018-01-25	11349.96	11794.05	10950.21	11175.27	20840.0	221040
2018-01-26	11184.7	11643.0	10311.15	11089.0	33056.9	314720
2018-01-27	11089.0	11650.0	10842.69	11491.0	18860.8	207478
2018-01-28	11499.98	12244.0	11408.0	11879.95	16887.3	206247
2018-01-29	11879.95	11975.02	11139.55	11251.0	14170.4	169199
2018-01-30	11250.11	11308.42	9900.0	10237.51	25554.4	259212
2018-01-31	10230.0	10425.85	9700.0	10285.1	18016.0	201422
2018-02-01	10285.1	10335.0	8750.99	9224.52	33564.8	316020
2018-02-02	9224.52	9250.0	8010.02	8873.03	49971.6	453411
2018-02-03	8873.03	9473.01	8229.0	9199.96	28725.0	327519
2018-02-04	9199.96	9368.0	7930.0	8184.81	32014.3	356134
2018-02-05	8179.99	8382.8	6625.0	6939.99	63403.2	533510
2018-02-06	6939.63	7878.0	6000.01	7652.14	100201.5	785996
2018-02-07	7655.02	8476.0	7150.01	7599.0	60778.5	514893
2018-02-08	7599.0	7844.0	7572.09	7784.02	1521.5	12417
2018-02-09	7789.9	8738.0	7789.9	8683.92	20482.9	273091
2018-02-10	8683.93	9065.78	8120.0	8533.98	49381.5	537578
2018-02-11	8533.99	8549.0	7726.53	8063.88	45025.2	524626
2018-02-12	8063.82	8989.0	8053.0	8903.0	41987.9	477660
2018-02-13	8903.0	8950.0	8351.0	8539.9	35455.0	401893
2018-02-14	8535.17	9489.6	8533.0	9449.99	40812.0	514897
2018-02-15	9449.98	10219.5	9301.5	10000.09	52427.6	608349
2018-02-16	10000.89	10323.37	9666.0	10159.98	38161.2	405310
2018-02-17	10156.07	11075.07	10050.0	11039.55	41882.1	413585
2018-02-18	11039.55	11274.0	10080.0	10383.43	61137.4	537534
2018-02-19	10375.01	11250.0	10270.33	11153.0	40831.4	366882
2018-02-20	11147.11	11786.01	11100.59	11200.99	48153.4	432197
2018-02-21	11195.07	11304.03	10200.0	10437.6	68113.8	542340
2018-02-22	10439.02	10933.44	9679.0	9811.04	67060.2	506273
2018-02-23	9815.55	10435.0	9570.19	10131.04	57202.7	467480
2018-02-24	10131.04	10496.97	9352.0	9694.51	40888.2	337918
2018-02-25	9694.51	9847.0	9274.8	9590.0	28373.5	233567
2018-02-26	9590.0	10444.32	9350.0	10324.0	34878.3	285276
2018-02-27	10321.0	10870.0	10121.0	10569.04	30705.4	240542
2018-02-28	10584.33	11098.0	10300.0	10326.76	30801.0	277886
2018-03-01	10325.64	11060.41	10240.0	10920.0	25092.6	230428
2018-03-02	10923.36	11200.0	10770.0	11039.0	23910.7	211691
2018-03-03	11038.99	11544.0	11015.01	11464.48	21287.2	190444
2018-03-04	11464.47	11565.0	11050.02	11515.0	17295.9	168359
2018-03-05	11515.0	11710.0	11415.01	11454.0	15144.2	164318
2018-03-06	11455.0	11455.0	10555.48	10716.48	29515.6	250306
2018-03-07	10716.48	10899.0	9389.31	9910.0	50647.7	396721
2018-03-08	9910.0	10099.0	9060.0	9271.64	41109.5	336514
2018-03-09	9267.07	9410.0	8329.0	9227.0	64112.3	462712
2018-03-10	9230.0	9490.0	8667.07	8770.22	37180.0	288066
2018-03-11	8770.22	9740.0	8450.0	9533.57	44326.0	333367
2018-03-12	9533.57	9888.88	8780.0	9131.34	42230.8	336642
2018-03-13	9131.34	9474.0	8823.0	9150.0	40191.4	342734
2018-03-14	9151.92	9333.78	7900.28	8170.0	49708.1	399127
2018-03-15	8184.01	8430.0	7650.0	8240.98	52291.0	400529
2018-03-16	8240.98	8611.64	7900.0	8260.0	38815.4	255807
2018-03-17	8260.0	8348.62	7721.99	7824.8	33110.2	292041
2018-03-18	7824.01	8317.4	7322.0	8189.99	59488.2	423336
2018-03-19	8189.0	8705.23	8088.4	8600.0	55297.1	360414
2018-03-20	8595.01	9050.0	8280.0	8909.98	44865.1	298261
2018-03-21	8909.96	9177.01	8750.6	8885.0	39972.4	293696
2018-03-22	8884.82	9100.0	8465.1	8722.9	40617.6	276449
2018-03-23	8720.0	8909.0	8269.0	8898.03	39991.0	278571
2018-03-24	8898.04	8999.95	8491.0	8546.86	35466.6	270300
2018-03-25	8531.25	8669.85	8365.77	8470.15	29001.8	215660
2018-03-26	8470.14	8514.89	7831.0	8134.23	44033.6	310462
2018-03-27	8134.22	8215.94	7730.0	7795.51	37427.6	266540
2018-03-28	7795.51	8109.0	7728.0	7949.3	26401.3	183620
2018-03-29	7949.3	7975.0	6941.11	7090.14	54620.9	359537
2018-03-30	7090.16	7292.43	6600.1	6840.23	65306.0	400057
2018-03-31	6840.24	7223.36	6777.0	6923.91	36868.5	240293
2018-04-01	6922.0	7049.98	6430.0	6813.01	44071.4	260942
2018-04-02	6813.01	7125.0	6765.0	7056.0	32123.6	206780
2018-04-03	7063.97	7520.0	7011.01	7405.21	37787.3	248143
2018-04-04	7405.21	7427.52	6707.0	6796.1	42227.2	277249
2018-04-05	6796.1	6902.0	6566.69	6770.76	39029.7	238476
2018-04-06	6770.0	6850.0	6500.0	6601.39	27455.0	162456
2018-04-07	6601.39	7070.0	6586.28	6895.8	32269.6	178577
2018-04-08	6895.81	7109.13	6880.0	7018.0	21427.7	152461
2018-04-09	7011.04	7185.0	6611.0	6782.72	34078.3	212669
2018-04-10	6781.55	6890.0	6656.0	6843.9	22326.7	147755
2018-04-11	6839.56	6990.0	6787.0	6953.79	23997.9	155607
2018-04-12	6953.78	8012.23	6743.2	7923.0	64861.6	404588
2018-04-13	7922.99	8233.39	7732.0	7877.41	55044.5	351905
2018-04-14	7877.48	8186.0	7810.0	7999.01	31621.3	194500
2018-04-15	8004.0	8429.54	7999.02	8355.0	27946.7	181778
2018-04-16	8355.07	8419.0	7867.0	8064.92	36664.1	226748
2018-04-17	8064.92	8173.7	7825.4	7885.02	32152.6	221228
2018-04-18	7890.96	8236.43	7868.0	8173.0	26969.0	183472
2018-04-19	8173.99	8296.0	8080.0	8278.0	27113.8	196821
2018-04-20	8273.84	8930.0	8177.09	8856.98	39795.3	289687
2018-04-21	8852.12	9035.0	8565.0	8915.31	40872.2	295374
2018-04-22	8915.31	9020.67	8727.68	8787.02	29458.3	229871
2018-04-23	8785.7	8985.0	8745.0	8934.01	25838.1	190944
2018-04-24	8934.0	9731.01	8922.0	9619.99	46268.8	326608
2018-04-25	9618.96	9759.82	8730.0	8869.99	81110.0	477363
2018-04-26	8869.99	9307.48	8651.62	9266.0	43300.3	285850
2018-04-27	9267.03	9395.0	8889.0	8915.35	37241.3	268471
2018-04-28	8915.35	9427.48	8870.0	9348.0	34759.6	257288
2018-04-29	9348.0	9570.51	9163.74	9419.0	38149.9	311494
2018-04-30	9417.04	9458.64	9124.99	9246.01	35002.0	285951
2018-05-01	9246.01	9248.99	8800.49	9071.48	41018.5	268741
2018-05-02	9071.48	9268.0	8970.2	9247.84	26123.5	188258
2018-05-03	9247.81	9844.0	9168.4	9750.0	38768.4	282581
2018-05-04	9750.0	9830.04	9520.85	9713.99	28681.6	210165
2018-05-05	9714.0	10020.0	9682.0	9864.0	24990.0	212076
2018-05-06	9863.99	9970.0	9417.03	9659.01	27690.4	229309
2018-05-07	9661.02	9689.67	9181.0	9365.0	33787.6	230754
2018-05-08	9365.0	9475.7	9060.54	9187.56	25533.8	189159
2018-05-09	9178.0	9390.0	8965.0	9310.0	25673.5	192337
2018-05-10	9310.0	9395.12	8970.0	9002.2	25055.1	221075
2018-05-11	9002.21	9016.8	8341.0	8400.0	48227.0	365538
2018-05-12	8405.94	8646.88	8153.0	8465.94	40241.3	310305
2018-05-13	8475.44	8763.36	8298.0	8679.71	25632.9	215590
2018-05-14	8679.71	8879.99	8277.0	8663.34	37389.7	292731
2018-05-15	8663.37	8859.99	8401.3	8462.0	28127.0	360379
2018-05-16	8462.0	8488.0	8083.01	8330.0	31130.7	300842
2018-05-17	8330.0	8464.0	7979.0	8041.46	25439.8	310780
2018-05-18	8038.82	8273.21	7911.9	8239.81	23476.2	183913
2018-05-19	8238.01	8390.8	8095.73	8233.49	17193.4	134185
2018-05-20	8233.49	8609.0	8163.9	8526.98	19957.1	161265
2018-05-21	8526.97	8595.31	8305.0	8381.24	21516.6	184158
2018-05-22	8386.89	8400.18	7935.11	7977.11	23710.9	192154
2018-05-23	7977.12	8031.9	7425.0	7501.95	42910.7	306812
2018-05-24	7501.95	7730.73	7266.99	7575.01	37845.4	253694
2018-05-25	7578.99	7649.55	7308.15	7457.0	26740.0	239025
2018-05-26	7456.99	7620.0	7300.0	7333.96	19464.1	212344
2018-05-27	7334.0	7400.0	7231.11	7338.99	18706.9	198341
2018-05-28	7338.99	7437.0	7058.02	7099.0	27219.4	233392
2018-05-29	7099.0	7540.0	7032.95	7461.29	39407.2	237359
2018-05-30	7467.98	7569.0	7260.5	7375.96	32041.6	242079
2018-05-31	7382.07	7699.0	7327.51	7485.01	30776.1	274399
2018-06-01	7485.01	7608.55	7355.54	7521.01	28259.1	303069
2018-06-02	7521.01	7697.33	7437.0	7640.03	26720.7	290131
2018-06-03	7636.81	7786.69	7600.0	7714.26	27505.2	349636
2018-06-04	7714.26	7760.52	7446.5	7487.0	32258.8	307003
2018-06-05	7487.0	7679.49	7358.0	7625.0	31723.0	236865
2018-06-06	7626.64	7699.0	7467.05	7658.84	27230.0	257573
2018-06-07	7658.79	7765.0	7620.0	7691.08	25062.2	244186
2018-06-08	7691.08	7703.5	7531.0	7603.44	23396.8	321734
2018-06-09	7603.44	7683.98	7450.0	7491.73	19339.9	278971
2018-06-10	7491.73	7491.73	6622.81	6764.99	52342.0	471088
2018-06-11	6765.0	6922.0	6610.0	6872.0	34552.2	203442
2018-06-12	6872.0	6890.51	6435.0	6530.0	36722.2	224658
2018-06-13	6530.0	6627.6	6118.68	6292.78	46185.5	266517
2018-06-14	6292.78	6720.0	6260.0	6635.98	44478.1	256384
2018-06-15	6638.67	6666.66	6362.31	6388.9	30018.3	184938
2018-06-16	6380.01	6560.0	6320.86	6483.98	22277.2	140470
2018-06-17	6482.5	6589.03	6422.0	6449.61	19847.2	129759
2018-06-18	6444.06	6794.38	6380.0	6712.46	31821.4	180773
2018-06-19	6711.39	6841.74	6653.0	6741.21	24311.4	160490
2018-06-20	6740.0	6817.23	6551.81	6761.51	26359.8	166074
2018-06-21	6763.21	6795.0	6672.57	6718.84	25428.9	159783
2018-06-22	6717.69	6733.97	5918.94	6045.0	52157.4	300515
2018-06-23	6045.92	6260.0	6008.48	6149.98	26622.8	170164
2018-06-24	6149.98	6259.8	5750.0	6136.97	47446.0	275996
2018-06-25	6137.95	6350.0	6061.97	6252.0	39164.5	218384
2018-06-26	6252.0	6272.54	6035.0	6070.78	19377.2	113431
2018-06-27	6065.89	6190.43	5971.0	6133.73	19225.7	99481
2018-06-28	6134.73	6173.01	5827.0	5853.98	30585.3	156241
