open time	open	high	low	close	volume	number of trades
2018-05-28	12.49	12.65	11.28	11.4788	3494258.3	33754
2018-05-29	11.4853	12.465	10.7	12.1112	6709192.3	67086
2018-05-30	12.1113	12.82	11.6206	11.8968	6514864.2	52521
2018-05-31	11.8712	12.74	11.8116	12.2353	6540020.8	55055
2018-06-01	12.2351	12.3889	11.8354	12.2048	5946136.9	53090
2018-06-02	12.2143	15.6774	12.1039	14.6976	9812623.6	133426
2018-06-03	14.6976	15.451	14.2266	14.5304	5800716.4	81730
2018-06-04	14.5304	14.8424	13.23	13.462	4878116.5	69831
2018-06-05	13.4619	14.3	12.71	14.1996	6430602.8	86468
2018-06-06	14.1978	14.3	13.3677	13.9072	5958713.3	69194
2018-06-07	13.91	14.7409	13.6	14.7207	6061410.8	69656
2018-06-08	14.7205	14.9	13.55	13.9637	2727726.1	66798
2018-06-09	13.9794	15.0015	13.92	14.15	2592900.6	70817
2018-06-10	14.15	14.1642	10.98	11.7313	10540465.9	117253
2018-06-11	11.7355	11.93	10.61	11.7719	8878723.1	109917
2018-06-12	11.771	11.78	9.68	10.0909	9168694.8	98326
2018-06-13	10.0909	10.47	9.12	10.037	10351432.8	113104
2018-06-14	10.0312	11.7899	9.462	11.2534	10052349.0	128840
2018-06-15	11.2534	11.45	10.5107	10.6547	5408054.4	81960
2018-06-16	10.6504	10.8667	10.16	10.5254	6053921.0	69941
2018-06-17	10.5254	10.75	10.25	10.3388	1627761.8	38446
2018-06-18	10.3388	10.899	10.0963	10.6791	10669784.2	73020
2018-06-19	10.6738	10.9693	10.38	10.658	7961229.9	53189
2018-06-20	10.6507	10.7495	10.16	10.412	8798849.1	59765
2018-06-21	10.4077	10.83	10.2032	10.4099	8923799.2	55757
2018-06-22	10.4031	10.432	8.246	8.5198	11547386.8	100813
2018-06-23	8.5133	8.747	8.068	8.4464	8165524.1	54241
2018-06-24	8.4464	8.5153	6.92	8.06	8983446.4	74559
2018-06-25	8.0526	8.7	7.668	8.3358	9612531.1	59566
2018-06-26	8.3357	8.3999	7.5329	7.576	5966986.0	39383
2018-06-27	7.5518	8.26	7.3878	7.9942	9334246.0	55662
2018-06-28	7.995	8.087	7.2984	7.3675	8395130.2	54645
2018-06-29	7.364	7.95	7.0804	7.7438	7661045.9	49782
2018-06-30	7.7402	8.298	7.7346	8.127	9584422.7	56416
2018-07-01	8.1298	8.2452	7.761	8.1164	9547404.6	49275
2018-07-02	8.1136	9.1744	7.88	8.9691	8241724.0	58648
2018-07-03	8.9665	9.4363	8.6051	8.8336	11219476.5	69085
2018-07-04	8.8336	9.3955	8.7092	8.9064	6569646.1	39260
2018-07-05	8.9097	9.2219	8.6583	8.8328	8412873.1	59073
2018-07-06	8.833	8.8735	8.288	8.6303	4527731.4	40976
2018-07-07	8.6449	8.8931	8.3517	8.8336	2062917.3	25922
2018-07-08	8.8332	8.9801	8.6501	8.6827	9139546.8	45286
2018-07-09	8.6826	8.7165	7.5	7.7092	8872131.8	55731
2018-07-10	7.7045	7.824	7.0503	7.1196	6524621.0	65430
2018-07-11	7.1199	7.3993	6.72	7.1616	12859537.8	72321
2018-07-12	7.1668	7.1704	6.54	6.9207	14581793.5	67754
2018-07-13	6.9208	7.2245	6.6881	6.8921	14260068.8	65071
2018-07-14	6.8982	7.088	6.764	6.9237	12584240.6	44555
2018-07-15	6.9268	7.5346	6.852	7.4075	13645106.8	53036
2018-07-16	7.4026	8.1819	7.2202	8.0899	15310182.8	84539
2018-07-17	8.0845	8.9686	7.83	8.7826	15072014.3	90844
2018-07-18	8.783	9.37	8.4287	8.6018	15368313.4	106523
2018-07-19	8.6015	8.7592	8.1528	8.4175	12014171.9	81173
2018-07-20	8.422	8.6069	7.711	7.8583	11299468.8	88201
2018-07-21	7.8583	8.2419	7.572	8.0	8592901.0	59729
2018-07-22	7.9939	8.27	7.71	7.8488	7179671.8	51200
2018-07-23	7.8461	8.4144	7.7811	7.9353	5692633.2	64677
2018-07-24	7.9336	8.6967	7.7165	8.5871	11998912.9	96177
2018-07-25	8.5809	9.1407	8.3385	8.532	14376822.8	86059
2018-07-26	8.5307	8.86	8.19	8.3	13521194.5	72125
2018-07-27	8.298	8.5352	8.0	8.4321	14149475.3	70861
2018-07-28	8.4296	8.4535	8.12	8.3523	12344279.7	46097
2018-07-29	8.3501	8.477	8.13	8.3148	11644873.4	42689
2018-07-30	8.3171	8.35	7.4	7.7421	11922994.4	72362
2018-07-31	7.7303	7.7464	7.1	7.3317	10844163.0	77921
2018-08-01	7.3317	7.3937	6.88	7.2176	9579047.9	68268
2018-08-02	7.2146	7.3207	6.8707	7.0072	8516504.1	53831
2018-08-03	7.0071	7.2539	6.85	7.1784	7840361.2	52153
2018-08-04	7.1785	7.3194	6.8788	6.9779	2585204.2	33658
2018-08-05	6.9779	7.0889	6.9029	7.0373	9206157.5	36112
2018-08-06	7.0339	7.1602	6.9273	7.0608	8405635.5	40039
2018-08-07	7.0576	7.19	6.501	6.5689	9777297.9	58778
2018-08-08	6.569	6.569	5.35	5.5788	13221551.5	110953
2018-08-09	5.5788	5.9416	5.3988	5.7581	12850965.3	77248
2018-08-10	5.7548	5.8131	5.1606	5.2454	13561226.2	94878
2018-08-11	5.2479	5.3293	4.8152	4.9669	13957285.0	89242
2018-08-12	4.9638	5.1701	4.9002	4.9653	11379903.8	67005
2018-08-13	4.9631	5.17	4.4723	4.5799	13437268.9	73104
2018-08-14	4.5818	4.5885	4.15	4.5771	13455331.2	84587
2018-08-15	4.5772	4.9203	4.48	4.6208	13564051.6	97087
2018-08-16	4.6208	4.8119	4.434	4.521	12620729.2	67734
2018-08-17	4.517	5.6	4.4866	5.5834	16303531.2	104391
2018-08-18	5.5901	5.661	4.82	5.0788	9205753.3	76393
2018-08-19	5.0764	5.4093	4.9374	5.2843	4144220.9	46094
2018-08-20	5.2854	5.355	4.6641	4.702	12405439.1	68946
2018-08-21	4.702	4.95	4.65	4.9098	11624179.4	65461
2018-08-22	4.9112	5.332	4.5203	4.7144	14950192.5	89631
2018-08-23	4.711	4.9512	4.641	4.8961	11319765.3	57334
2018-08-24	4.8964	5.1084	4.771	5.0416	12609719.6	58419
2018-08-25	5.0483	5.0706	4.9038	5.0284	11571667.3	46466
2018-08-26	5.0309	5.048	4.8171	4.9497	11920852.3	47902
2018-08-27	4.9457	5.4351	4.9043	5.392	14618857.8	70593
2018-08-28	5.3919	6.03	5.27	5.9165	15445866.3	85155
2018-08-29	5.9174	6.4802	5.7696	6.1251	17756893.8	113586
2018-08-30	6.1252	6.2799	5.7304	6.064	13024568.8	82482
