open time	open	high	low	close	volume	number of trades
2019-01-01	2.5345	2.6345	2.4883	2.6184	5425315.8	48386
2019-01-02	2.6185	2.8617	2.5877	2.8197	7781422.0	57189
2019-01-03	2.8186	2.822	2.5709	2.6379	7580722.3	53115
2019-01-04	2.6361	2.7271	2.544	2.6744	6887348.7	53384
2019-01-05	2.6749	2.7435	2.6301	2.651	5805230.9	46291
2019-01-06	2.6518	2.8626	2.6	2.8092	7195395.5	53932
2019-01-07	2.8104	2.8304	2.6821	2.7336	7269951.6	51830
2019-01-08	2.733	2.8349	2.6809	2.743	6452192.4	46867
2019-01-09	2.7433	2.92	2.7261	2.86	7243272.7	49060
2019-01-10	2.8624	2.9474	2.274	2.3691	15447628.3	113392
2019-01-11	2.3692	2.4156	2.2801	2.3627	9119469.1	77535
2019-01-12	2.3614	2.4178	2.3411	2.3768	5316332.0	46702
2019-01-13	2.3766	2.3899	2.1762	2.2092	5711834.5	47435
2019-01-14	2.2095	2.4599	2.2044	2.4256	6215915.0	53218
2019-01-15	2.426	2.4461	2.3037	2.3496	6820880.4	58379
2019-01-16	2.3475	2.436	2.3313	2.4027	5392886.8	46265
2019-01-17	2.4035	2.496	2.3262	2.4718	6827598.9	50896
2019-01-18	2.4729	2.4848	2.38	2.4296	5451727.3	43387
2019-01-19	2.4296	2.5085	2.409	2.444	4397104.7	33727
2019-01-20	2.4432	2.47	2.2484	2.3266	6718840.2	56216
2019-01-21	2.3279	2.4027	2.293	2.3223	4909058.4	41047
2019-01-22	2.3226	2.4948	2.2583	2.4276	6368766.9	53025
2019-01-23	2.4275	2.462	2.3851	2.4188	4011152.7	33275
2019-01-24	2.4188	2.4509	2.3849	2.4343	3593242.2	30932
2019-01-25	2.4344	2.4626	2.4016	2.4285	3241042.5	27603
2019-01-26	2.4278	2.4745	2.3976	2.4065	2440321.1	19198
2019-01-27	2.4048	2.438	2.31	2.3522	3924251.5	27345
2019-01-28	2.3521	2.3614	2.15	2.2267	5569150.2	42684
2019-01-29	2.2266	2.307	2.1791	2.2561	3335084.4	29224
2019-01-30	2.2562	2.3453	2.2233	2.3262	2763718.8	24952
2019-01-31	2.3267	2.3641	2.2769	2.3089	3052511.7	26439
2019-02-01	2.31	2.3547	2.276	2.3263	2678028.0	25998
2019-02-02	2.3258	2.455	2.314	2.4389	2561851.2	19174
2019-02-03	2.4389	2.4469	2.34	2.3707	3256628.0	24307
2019-02-04	2.3701	2.4359	2.3454	2.3973	2674770.6	20090
2019-02-05	2.3973	2.4071	2.3501	2.3914	1969941.3	17506
2019-02-06	2.3914	2.3979	2.3	2.3426	3428527.0	30328
2019-02-07	2.3427	2.44	2.3224	2.3415	1765620.3	16175
2019-02-08	2.3407	2.806	2.3248	2.7219	9123081.2	73771
2019-02-09	2.7213	2.831	2.6742	2.7718	6111348.7	52264
2019-02-10	2.7707	2.86	2.6484	2.8393	6446491.0	52122
2019-02-11	2.8401	2.8478	2.6826	2.75	5768339.0	48957
2019-02-12	2.7493	3.0171	2.7089	2.9465	7730088.3	65124
2019-02-13	2.9475	2.9973	2.8027	2.8564	6485268.1	52339
2019-02-14	2.8565	2.8894	2.7101	2.7427	4507205.7	36923
2019-02-15	2.7428	2.8697	2.7391	2.7928	4622600.9	40190
2019-02-16	2.7931	2.8932	2.7755	2.7873	3196504.3	28539
2019-02-17	2.7859	2.9163	2.7775	2.8762	5431277.9	37229
2019-02-18	2.8762	3.49	2.8601	3.4764	17539014.8	128341
2019-02-19	3.4763	3.799	3.46	3.5224	21074867.1	148893
2019-02-20	3.5215	3.945	3.4554	3.9076	17147702.6	110686
2019-02-21	3.9095	3.9287	3.6345	3.8035	11037523.1	74174
2019-02-22	3.8035	3.909	3.73	3.8411	10110935.9	65772
2019-02-23	3.8459	4.3139	3.7799	4.245	8765378.7	65188
2019-02-24	4.2434	4.4416	3.4	3.5289	19522125.2	138076
2019-02-25	3.5327	3.713	3.2658	3.5461	15538358.9	105469
2019-02-26	3.5431	3.5582	3.3001	3.4318	9333008.3	63636
2019-02-27	3.4324	3.5545	3.32	3.5021	7547003.7	55702
2019-02-28	3.5026	3.6439	3.436	3.4971	7021064.5	53739
2019-03-01	3.4977	3.6835	3.4064	3.4673	8074950.5	55665
